1674;CUIDADO CON EL CORAZON;ALEJANDRA GUZMAN;BALADA
1678;ETERNAMENTE BELLA;ALEJANDRA GUZMAN;POP
1686;MALA HIERBA;ALEJANDRA GUZMAN;BALADA
2798;VOLVERTE A AMAR;ALEJANDRA GUZMAN;BALADA
2879;MIRALA MIRALO;ALEJANDRA GUZMAN;POP
2967;DIME DE VERDAD;ALEJANDRA GUZMAN;BALADA
3000;YO TE ESPERABA;ALEJANDRA GUZMAN;BALADA
4381;PORQUE NO ESTAS AQU�;ALEJANDRA GUZMAN;BALADA
4508;DIA DE SUERTE;ALEJANDRA GUZMAN;POP
5528;MI PEOR ERROR;ALEJANDRA GUZMAN;BALADA
5630;LOCA;ALEJANDRA GUZMAN;BALADA
5868;DIABLO;ALEJANDRA GUZMAN;POP
5898;TU ERES MI LUZ;ALEJANDRA GUZMAN;BALADA
5913;GUERA;ALEJANDRA GUZMAN;POP
5918;LA PLAGA;ALEJANDRA GUZMAN;POP
5923;LUZ DE LUNA;ALEJANDRA GUZMAN;POP
5943;TODA LA MITAD;ALEJANDRA GUZMAN;POP
5978;LIPSTICK;ALEJANDRA GUZMAN;POP
5984;PARA MI;ALEJANDRA GUZMAN;BALADA
5997;VERANO PELIGROSO;ALEJANDRA GUZMAN;POP
6048;VEN;ALEJANDRA GUZMAN;BALADA
2409;AMOR DE LOS DOS;ALEJANDRO & VICENTE FERNANDEZ;RANCHERA
37;LLORANDO PENAS;ALEJANDRO FERNANDEZ;RANCHERA
123;SI TU SUPIERAS;ALEJANDRO FERNANDEZ;BOLERO
144;COMO QUIEN PIERDE UNA ESTRELLA;ALEJANDRO FERNANDEZ;RANCHERA
180;QUE BUENO;ALEJANDRO FERNANDEZ;RANCHERA
183;LA MITAD QUE ME FALTABA;ALEJANDRO FERNANDEZ;RANCHERA
396;PASIONAL;ALEJANDRO FERNANDEZ;RANCHERA
495;LOCO;ALEJANDRO FERNANDEZ;RANCHERA
546;SIN TANTITA PENA;ALEJANDRO FERNANDEZ;RANCHERA
923;QUIEREME;ALEJANDRO FERNANDEZ;BALADA
940;A PESAR DE TODO;ALEJANDRO FERNANDEZ;RANCHERA
941;NO SE OLVIDAR;ALEJANDRO FERNANDEZ;RANCHERA
985;YO NACI PARA AMARTE;ALEJANDRO FERNANDEZ;RANCHERA
1558;ME ESTOY ENAMORANDO;ALEJANDRO FERNANDEZ;BOLERO
1561;NUBE VIAJERA;ALEJANDRO FERNANDEZ;RANCHERA
1584;OJO POR OJO;ALEJANDRO FERNANDEZ;RANCHERA
1585;PIEL DE NI�A;ALEJANDRO FERNANDEZ;RANCHERA
1586;QUE SEAS MUY FELIZ;ALEJANDRO FERNANDEZ;RANCHERA
1730;VOLVERAS;ALEJANDRO FERNANDEZ;BOLERO
1807;ME DEDIQUE A PERDERTE;ALEJANDRO FERNANDEZ;BALADA
1808;SI HE SABIDO AMOR;ALEJANDRO FERNANDEZ;BALADA
1904;ABRAZAME;ALEJANDRO FERNANDEZ;RANCHERA
2027;TODO TERMINO;ALEJANDRO FERNANDEZ;RANCHERA
2056;INTENTA VIVIR SIN MI;ALEJANDRO FERNANDEZ;RANCHERA
2259;NADIE SIMPLEMENTE NADIE;ALEJANDRO FERNANDEZ;BALADA
2325;ES LA MUJER;ALEJANDRO FERNANDEZ;RANCHERA
2428;COMO EL SOL Y EL TRIGO;ALEJANDRO FERNANDEZ;RANCHERA
2479;QUE LASTIMA;ALEJANDRO FERNANDEZ;BALADA
2514;CANTA CORAZON;ALEJANDRO FERNANDEZ;BALADA
2607;CASCOS LIGEROS;ALEJANDRO FERNANDEZ;RANCHERA
2627;LA GLORIA ESRES TU;ALEJANDRO FERNANDEZ;RANCHERA
2703;ACABE POR LLORAR;ALEJANDRO FERNANDEZ;RANCHERA
2783;QUE SERA DE MI;ALEJANDRO FERNANDEZ;RANCHERA
2896;TE VOY A PERDER;ALEJANDRO FERNANDEZ;BALADA
2912;CUANDO TE OLVIDE;ALEJANDRO FERNANDEZ;RANCHERA
2933;NECESITO OLVIDARLA;ALEJANDRO FERNANDEZ;RANCHERA
3009;CONSENTIDA;ALEJANDRO FERNANDEZ;RANCHERA
3013;ENCADENADOS;ALEJANDRO FERNANDEZ;RANCHERA
3014;EQUIVOCADAMENTE;ALEJANDRO FERNANDEZ;RANCHERA
3026;NO ESTOY TRISTE;ALEJANDRO FERNANDEZ;RANCHERA
3030;QUE VOY A HACER CON MI AMOR;ALEJANDRO FERNANDEZ;BALADA
3039;TE QUEDAS O TE VAS;ALEJANDRO FERNANDEZ;RANCHERA
3181;NO SE ME HACE FACIL;ALEJANDRO FERNANDEZ;BALADA
3285;NI�A AMADA MIA;ALEJANDRO FERNANDEZ;RANCHERA
3438;SI TU NO VUELVES;ALEJANDRO FERNANDEZ;RANCHERA
3781;MA�ANA ES PARA SIEMPRE;ALEJANDRO FERNANDEZ;BALADA
3818;ERES;ALEJANDRO FERNANDEZ;POP
3907;COMO ME DUELE;ALEJANDRO FERNANDEZ;BALADA
3963;ESTUVE;ALEJANDRO FERNANDEZ;RANCHERA
3975;ME HACE TANTO BIEN;ALEJANDRO FERNANDEZ;BALADA
3992;SE ME VA LA VOZ;ALEJANDRO FERNANDEZ;BALADA
4010;CUANDO DIGO TU NOMBRE;ALEJANDRO FERNANDEZ;BALADA
4014;DIBUJANDO UN CORAZON;ALEJANDRO FERNANDEZ;BALADA
4075;NO LO BESES;ALEJANDRO FERNANDEZ;BALADA
4121;LA REINA ES EL REY;ALEJANDRO FERNANDEZ;RANCHERA
4137;TANTO AMAR;ALEJANDRO FERNANDEZ;BALADA
4181;QUE POCA;ALEJANDRO FERNANDEZ;RANCHERA
4195;TU AMOR PERDI;ALEJANDRO FERNANDEZ;BALADA
4212;HABLAME;ALEJANDRO FERNANDEZ;BALADA
4256;AMOR DE LUNA;ALEJANDRO FERNANDEZ;RANCHERA
4329;MI RECHAZO;ALEJANDRO FERNANDEZ;BALADA
4346;TU REGRESARAS;ALEJANDRO FERNANDEZ;RANCHERA
4509;DIFERENTE;ALEJANDRO FERNANDEZ;BALADA
4664;DONDE VAS TAN SOLA;ALEJANDRO FERNANDEZ;RANCHERA
4666;EL MONSTRUO;ALEJANDRO FERNANDEZ;RANCHERA
5741;PECADORA;ALEJANDRO FERNANDEZ;FLAMENCO
5872;EL POTRILLO;ALEJANDRO FERNANDEZ;RANCHERA
5881;GRANADA;ALEJANDRO FERNANDEZ;RANCHERA
5889;ME RECORDARAS LLORANDO;ALEJANDRO FERNANDEZ;RANCHERA
5891;MO�O NEGRO;ALEJANDRO FERNANDEZ;RANCHERA
5940;QUISIERA;ALEJANDRO FERNANDEZ;BALADA
6715;INGRATO AMOR;ALEJANDRO FERNANDEZ;RANCHERA
7205;INGRATO AMOR;ALEJANDRO FERNANDEZ;RANCHERA
5672;ESTOY HECHO PEDACITOS DE TI;ALEJANDRO FERNANDEZ & ANTONIO OROZCO;BALADA
3903;AMOR GITANO;ALEJANDRO FERNANDEZ & BEYONCE;FLAMENCO
5181;HOY TENGO GANAS DE TI;ALEJANDRO FERNANDEZ & CRISTINA AGUILERA;BALADA
5548;TE SEGUIRE;ALEJANDRO GUZMAN;BALADA
1448;MI AMOR SECRETO;ALEJANDRO JAEN;BALADA
1876;VAS A ACORDARTE DE MI;ALEJANDRO JAEN;BALADA
3811;DAME FE;ALEJANDRO JAEN;BALADA
4059;ESTUPIDA;ALEJANDRO JAEN;BALADA
966;DESPUES DE TI;ALEJANDRO LERNER;BALADA
1044;AMARTE ASI;ALEJANDRO LERNER;BALADA
1172;DENTRO DE MI;ALEJANDRO LERNER;BALADA
1395;TODO A PULMON;ALEJANDRO LERNER;BALADA
1396;VOLVER A EMPEZAR;ALEJANDRO LERNER;BALADA
1661;QUIEN TE DIJO;ALEJANDRO LERNER;BALADA
3871;EL PODER DE LOS SUE�OS;ALEJANDRO LERNER;BALADA
5021;HAY UNA LUZ;ALEJANDRO LERNER;BALADA
6414;SECRETOS;ALEJANDRO LERNER;BALADA
3966;GRABADO EN LA PIEL;ALEJANDRO MARTINEZ;BALADA
4093;TESTARUDO LOCO ENAMORADO;ALEJANDRO MARTINEZ;BALADA
6634;DIME QUE ME AMAS;ALEJANDRO SANTANDER;PASEITO
6668;ELLA MINTIO;ALEJANDRO SANTANDER;SALSA
6831;NUESTRA HISTORIA;ALEJANDRO SANTANDER;BACHATA
34;CORAZON PARTI�O;ALEJANDRO SANZ;BALADA
60;ELLA;ALEJANDRO SANZ;BALADA
347;LO VES;ALEJANDRO SANZ;BALADA
353;MI SOLEDAD Y YO;ALEJANDRO SANZ;BALADA
461;LA FUERZA DEL CORAZON;ALEJANDRO SANZ;BALADA
678;AMIGA MIA;ALEJANDRO SANZ;BALADA
